  Yr, Mn,      Date,     CO2
1981,4,1981.2877,342.5
1981,5,1981.3699,342.91
1981,6,1981.4548,342.25
1981,7,1981.537,340.49
1981,8,1981.6219,338.43
1981,9,1981.7068,336.69
1981,10,1981.789,336.86
1981,11,1981.874,338.36
1981,12,1981.9562,339.61
1982,1,1982.0411,340.75
1982,2,1982.126,341.61
1982,3,1982.2027,342.7
1982,4,1982.2877,343.57
1982,5,1982.3699,344.14
1982,6,1982.4548,343.35
1982,7,1982.537,342.06
1982,8,1982.6219,339.81
1982,9,1982.7068,337.98
1982,10,1982.789,337.86
1982,11,1982.874,339.26
1982,12,1982.9562,340.49
1983,1,1983.0411,341.38
1983,2,1983.126,342.52
1983,3,1983.2027,343.1
1983,4,1983.2877,344.94
1983,5,1983.3699,345.76
1983,6,1983.4548,345.32
1983,7,1983.537,343.98
1983,8,1983.6219,342.38
1983,9,1983.7068,339.87
1983,10,1983.789,339.99
1983,11,1983.874,341.15
1983,12,1983.9562,342.99
1984,1,1984.041,343.7
1984,2,1984.1257,344.5
1984,3,1984.2049,345.28
1984,4,1984.2896,347.05
1984,5,1984.3716,347.43
1984,6,1984.4563,346.8
1984,7,1984.5383,345.39
1984,8,1984.623,343.28
1984,9,1984.7077,341.07
1984,10,1984.7896,341.35
1984,11,1984.8743,342.98
1984,12,1984.9563,344.22
1985,1,1985.0411,344.97
1985,2,1985.126,345.99
1985,3,1985.2027,347.42
1985,4,1985.2877,348.35
1985,5,1985.3699,348.93
1985,6,1985.4548,348.25
1985,7,1985.537,346.56
1985,8,1985.6219,344.67
1985,9,1985.7068,343.09
1985,10,1985.789,342.8
1985,11,1985.874,344.24
1985,12,1985.9562,345.56
1986,1,1986.0411,346.3
1986,2,1986.126,346.95
1986,3,1986.2027,347.85
1986,4,1986.2877,349.55
1986,5,1986.3699,350.22
1986,6,1986.4548,349.55
1986,7,1986.537,347.94
1986,8,1986.6219,345.9
1986,9,1986.7068,344.85
1986,10,1986.789,344.17
1986,11,1986.874,345.66
1986,12,1986.9562,346.9
1987,1,1987.0411,348.02
1987,2,1987.126,348.48
1987,3,1987.2027,349.42
1987,4,1987.2877,350.98
1987,5,1987.3699,351.85
1987,6,1987.4548,351.26
1987,7,1987.537,349.51
1987,8,1987.6219,348.1
1987,9,1987.7068,346.45
1987,10,1987.789,346.36
1987,11,1987.874,347.81
1987,12,1987.9562,348.96
1988,1,1988.041,350.43
1988,2,1988.1257,351.73
1988,3,1988.2049,352.22
1988,4,1988.2896,353.59
1988,5,1988.3716,354.22
1988,6,1988.4563,353.8
1988,7,1988.5383,352.38
1988,8,1988.623,350.43
1988,9,1988.7077,348.73
1988,10,1988.7896,348.88
1988,11,1988.8743,350.07
1988,12,1988.9563,351.34
1989,1,1989.0411,352.76
1989,2,1989.126,353.07
1989,3,1989.2027,353.68
1989,4,1989.2877,355.42
1989,5,1989.3699,355.67
1989,6,1989.4548,355.12
1989,7,1989.537,353.9
1989,8,1989.6219,351.67
1989,9,1989.7068,349.81
1989,10,1989.789,349.99
1989,11,1989.874,351.3
1989,12,1989.9562,352.52
1990,1,1990.0411,353.66
1990,2,1990.126,354.7
1990,3,1990.2027,355.38
1990,4,1990.2877,356.2
1990,5,1990.3699,357.16
1990,6,1990.4548,356.23
1990,7,1990.537,354.81
1990,8,1990.6219,352.91
1990,9,1990.7068,350.96
1990,10,1990.789,351.18
1990,11,1990.874,352.83
1990,12,1990.9562,354.21
1991,1,1991.0411,354.72
1991,2,1991.126,355.75
1991,3,1991.2027,357.16
1991,4,1991.2877,358.6
1991,5,1991.3699,359.34
1991,6,1991.4548,358.24
1991,7,1991.537,356.17
1991,8,1991.6219,354.01
1991,9,1991.7068,352.15
1991,10,1991.789,352.21
1991,11,1991.874,353.75
1991,12,1991.9562,354.99
1992,1,1992.041,355.99
1992,2,1992.1257,356.72
1992,3,1992.2049,357.81
1992,4,1992.2896,359.15
1992,5,1992.3716,359.66
1992,6,1992.4563,359.25
1992,7,1992.5383,357.02
1992,8,1992.623,355
1992,9,1992.7077,353.01
1992,10,1992.7896,353.31
1992,11,1992.8743,354.16
1992,12,1992.9563,355.4
1993,1,1993.0411,356.7
1993,2,1993.126,357.17
1993,3,1993.2027,358.38
1993,4,1993.2877,359.46
1993,5,1993.3699,360.28
1993,6,1993.4548,359.6
1993,7,1993.537,357.57
1993,8,1993.6219,355.52
1993,9,1993.7068,353.69
1993,10,1993.789,353.99
1993,11,1993.874,355.34
1993,12,1993.9562,356.8
1994,1,1994.0411,358.37
1994,2,1994.126,358.91
1994,3,1994.2027,359.97
1994,4,1994.2877,361.26
1994,5,1994.3699,361.69
1994,6,1994.4548,360.94
1994,7,1994.537,359.55
1994,8,1994.6219,357.48
1994,9,1994.7068,355.84
1994,10,1994.789,356
1994,11,1994.874,357.58
1994,12,1994.9562,359.04
1995,1,1995.0411,359.97
1995,2,1995.126,361
1995,3,1995.2027,361.63
1995,4,1995.2877,363.45
1995,5,1995.3699,363.8
1995,6,1995.4548,363.26
1995,7,1995.537,361.89
1995,8,1995.6219,359.45
1995,9,1995.7068,358.05
1995,10,1995.789,357.75
1995,11,1995.874,359.56
1995,12,1995.9562,360.7
1996,1,1996.041,362.05
1996,2,1996.1257,363.24
1996,3,1996.2049,364.02
1996,4,1996.2896,364.71
1996,5,1996.3716,365.42
1996,6,1996.4563,364.97
1996,7,1996.5383,363.65
1996,8,1996.623,361.48
1996,9,1996.7077,359.45
1996,10,1996.7896,359.61
1996,11,1996.8743,360.76
1996,12,1996.9563,362.33
1997,1,1997.0411,363.19
1997,2,1997.126,363.99
1997,3,1997.2027,364.56
1997,4,1997.2877,366.36
1997,5,1997.3699,366.8
1997,6,1997.4548,365.63
1997,7,1997.537,364.47
1997,8,1997.6219,362.5
1997,9,1997.7068,360.19
1997,10,1997.789,360.78
1997,11,1997.874,362.43
1997,12,1997.9562,364.28
1998,1,1998.0411,365.33
1998,2,1998.126,366.15
1998,3,1998.2027,367.31
1998,4,1998.2877,368.61
1998,5,1998.3699,369.3
1998,6,1998.4548,368.88
1998,7,1998.537,367.64
1998,8,1998.6219,365.78
1998,9,1998.7068,363.9
1998,10,1998.789,364.23
1998,11,1998.874,365.46
1998,12,1998.9562,366.97
1999,1,1999.0411,368.15
1999,2,1999.126,368.87
1999,3,1999.2027,369.59
1999,4,1999.2877,371.14
1999,5,1999.3699,371
1999,6,1999.4548,370.35
1999,7,1999.537,369.27
1999,8,1999.6219,366.93
1999,9,1999.7068,364.64
1999,10,1999.789,365.13
1999,11,1999.874,366.68
1999,12,1999.9562,368
2000,1,2000.041,369.14
2000,2,2000.1257,369.46
2000,3,2000.2049,370.51
2000,4,2000.2896,371.66
2000,5,2000.3716,371.83
2000,6,2000.4563,371.69
2000,7,2000.5383,370.12
2000,8,2000.623,368.12
2000,9,2000.7077,366.62
2000,10,2000.7896,366.73
2000,11,2000.8743,368.29
2000,12,2000.9563,369.52
2001,1,2001.0411,370.28
2001,2,2001.126,371.5
2001,3,2001.2027,372.12
2001,4,2001.2877,372.86
2001,5,2001.3699,374.02
2001,6,2001.4548,373.31
2001,7,2001.537,371.62
2001,8,2001.6219,369.55
2001,9,2001.7068,367.96
2001,10,2001.789,368.09
2001,11,2001.874,369.68
2001,12,2001.9562,371.24
2002,1,2002.0411,372.44
2002,2,2002.126,373.08
2002,3,2002.2027,373.52
2002,4,2002.2877,374.85
2002,5,2002.3699,375.55
2002,6,2002.4548,375.4
2002,7,2002.537,374.02
2002,8,2002.6219,371.48
2002,9,2002.7068,370.7
2002,10,2002.789,370.25
2002,11,2002.874,372.08
2002,12,2002.9562,373.78
2003,1,2003.0411,374.68
2003,2,2003.126,375.62
2003,3,2003.2027,376.11
2003,4,2003.2877,377.65
2003,5,2003.3699,378.35
2003,6,2003.4548,378.13
2003,7,2003.537,376.6
2003,8,2003.6219,374.48
2003,9,2003.7068,372.98
2003,10,2003.789,373
2003,11,2003.874,374.35
2003,12,2003.9562,375.69
2004,1,2004.041,376.79
2004,2,2004.1257,377.37
2004,3,2004.2049,378.39
2004,4,2004.2896,380.5
2004,5,2004.3716,380.62
2004,6,2004.4563,379.55
2004,7,2004.5383,377.76
2004,8,2004.623,375.83
2004,9,2004.7077,374.05
2004,10,2004.7896,374.22
2004,11,2004.8743,375.84
2004,12,2004.9563,377.44
2005,1,2005.0411,378.34
2005,2,2005.126,379.61
2005,3,2005.2027,380.08
2005,4,2005.2877,382.05
2005,5,2005.3699,382.24
2005,6,2005.4548,382.08
2005,7,2005.537,380.66
2005,8,2005.6219,378.67
2005,9,2005.7068,376.42
2005,10,2005.789,376.8
2005,11,2005.874,378.31
2005,12,2005.9562,379.96
2006,1,2006.0411,381.37
2006,2,2006.126,382.02
2006,3,2006.2027,382.56
2006,4,2006.2877,384.36
2006,5,2006.3699,384.92
2006,6,2006.4548,384.03
2006,7,2006.537,382.28
2006,8,2006.6219,380.48
2006,9,2006.7068,378.81
2006,10,2006.789,379.06
2006,11,2006.874,380.14
2006,12,2006.9562,381.66
2007,1,2007.0411,382.58
2007,2,2007.126,383.71
2007,3,2007.2027,384.34
2007,4,2007.2877,386.23
2007,5,2007.3699,386.41
2007,6,2007.4548,385.87
2007,7,2007.537,384.44
2007,8,2007.6219,381.84
2007,9,2007.7068,380.86
2007,10,2007.789,380.86
2007,11,2007.874,382.36
2007,12,2007.9562,383.61
2008,1,2008.041,385.07
2008,2,2008.1257,385.84
2008,3,2008.2049,385.83
2008,4,2008.2896,386.77
2008,5,2008.3716,388.51
2008,6,2008.4563,388.05
2008,7,2008.5383,386.25
2008,8,2008.623,384.08
2008,9,2008.7077,383.09
2008,10,2008.7896,382.78
2008,11,2008.8743,384.01
2008,12,2008.9563,385.11
2009,1,2009.0411,386.65
2009,2,2009.126,387.12
2009,3,2009.2027,388.52
2009,4,2009.2877,389.57
2009,5,2009.3699,390.17
2009,6,2009.4548,389.62
2009,7,2009.537,388.07
2009,8,2009.6219,386.08
2009,9,2009.7068,384.65
2009,10,2009.789,384.33
2009,11,2009.874,386.05
2009,12,2009.9562,387.49
2010,1,2010.0411,388.55
2010,2,2010.126,390.08
2010,3,2010.2027,391.01
2010,4,2010.2877,392.38
2010,5,2010.3699,393.22
2010,6,2010.4548,392.24
2010,7,2010.537,390.33
2010,8,2010.6219,388.52
2010,9,2010.7068,386.84
2010,10,2010.789,387.16
2010,11,2010.874,388.67
2010,12,2010.9562,389.81
2011,1,2011.0411,391.3
2011,2,2011.126,391.92
2011,3,2011.2027,392.45
2011,4,2011.2877,393.37
2011,5,2011.3699,394.28
2011,6,2011.4548,393.69
2011,7,2011.537,392.59
2011,8,2011.6219,390.21
2011,9,2011.7068,389
2011,10,2011.789,388.93
2011,11,2011.874,390.24
2011,12,2011.9562,391.8
2012,1,2012.041,393.07
2012,2,2012.1257,393.35
2012,3,2012.2049,394.36
2012,4,2012.2896,396.43
2012,5,2012.3716,396.87
2012,6,2012.4563,395.88
2012,7,2012.5383,394.52
2012,8,2012.623,392.54
2012,9,2012.7077,391.13
2012,10,2012.7896,391.01
2012,11,2012.8743,392.95
2012,12,2012.9563,394.33
2013,1,2013.0411,395.61
2013,2,2013.126,396.85
2013,3,2013.2027,397.26
2013,4,2013.2877,398.35
2013,5,2013.3699,399.98
2013,6,2013.4548,398.87
2013,7,2013.537,397.37
2013,8,2013.6219,395.41
2013,9,2013.7068,393.39
2013,10,2013.789,393.7
2013,11,2013.874,395.19
2013,12,2013.9562,396.82
2014,1,2014.0411,397.93
2014,2,2014.126,398.1
2014,3,2014.2027,399.47
2014,4,2014.2877,401.33
2014,5,2014.3699,401.88
2014,6,2014.4548,401.31
2014,7,2014.537,399.07
2014,8,2014.6219,397.21
2014,9,2014.7068,395.4
2014,10,2014.789,395.65
2014,11,2014.874,397.23
2014,12,2014.9562,398.79
2015,1,2015.0411,399.85
2015,2,2015.126,400.31
2015,3,2015.2027,401.51
2015,4,2015.2877,403.45
2015,5,2015.3699,404.1
2015,6,2015.4548,402.88
2015,7,2015.537,401.61
2015,8,2015.6219,399
2015,9,2015.7068,397.5
2015,10,2015.789,398.28
2015,11,2015.874,400.24
2015,12,2015.9562,401.89
2016,1,2016.041,402.65
2016,2,2016.1257,404.16
2016,3,2016.2049,404.85
2016,4,2016.2896,407.57
2016,5,2016.3716,407.66
2016,6,2016.4563,407
2016,7,2016.5383,404.5
2016,8,2016.623,402.24
2016,9,2016.7077,401.01
2016,10,2016.7896,401.5
2016,11,2016.8743,403.64
2016,12,2016.9563,404.55
2017,1,2017.0411,406.07
2017,2,2017.126,406.64
2017,3,2017.2027,407.05
2017,4,2017.2877,408.95
2017,5,2017.3699,409.91
2017,6,2017.4548,409.12
2017,7,2017.537,407.2
2017,8,2017.6219,405.24
2017,9,2017.7068,403.27
2017,10,2017.789,403.64
2017,11,2017.874,405.17
2017,12,2017.9562,406.75
2018,1,2018.0411,408.05
2018,2,2018.126,408.34
2018,3,2018.2027,409.25
2018,4,2018.2877,410.3
2018,5,2018.3699,411.3
2018,6,2018.4548,410.88
2018,7,2018.537,408.9
2018,8,2018.6219,407.1
2018,9,2018.7068,405.59
2018,10,2018.789,405.99
2018,11,2018.874,408.12
2018,12,2018.9562,409.23
2019,1,2019.0411,410.92
2019,2,2019.126,411.66
2019,3,2019.2027,412
2019,4,2019.2877,413.52
2019,5,2019.3699,414.83
2019,6,2019.4548,413.96
2019,7,2019.537,411.85
2019,8,2019.6219,410.08
2019,9,2019.7068,408.55
2019,10,2019.789,408.43
2019,11,2019.874,410.29
2019,12,2019.9562,411.85
2020,1,2020.041,413.37
2020,2,2020.1257,414.09
2020,3,2020.2049,414.51
2020,4,2020.2896,416.18
2020,5,2020.3716,417.16
